t_s,weight
0.0078,0.0
0.0162,0.0
0.0245,0.0
0.0328,0.0
0.0412,0.0
0.0495,0.0
0.0579,0.0
0.0662,0.0
0.0746,0.0
0.0829,0.0
0.0912,0.0
0.0996,0.0
0.1079,0.0
0.1163,0.0
0.1246,0.0
0.1329,0.0
0.1413,0.0
0.1496,0.0
0.158,0.0
0.1663,0.0
0.1747,0.0
0.183,0.0
0.1913,0.0
0.1997,0.0
0.208,0.0
0.2164,0.0
0.2247,0.0
0.2331,0.0
0.2414,0.0
0.2497,0.0
0.2581,0.0
0.2664,0.0
0.2748,0.0
0.2831,0.0
0.2914,0.0
0.2998,0.0
0.3081,0.0
0.3165,0.0
0.3248,0.0
0.3332,0.0
0.3415,0.0
0.3498,0.0
0.3582,0.0
0.3665,0.0
0.3749,0.0
0.3832,0.0
0.3915,0.0
0.3999,0.0
0.4082,0.0
0.4166,0.0
0.4249,0.0
0.4333,0.0
0.4416,0.0
0.4499,0.0
0.4583,0.0
0.4666,0.0
0.475,0.0
0.4833,0.0
0.4916,0.0
0.5,0.0
0.5083,0.0
0.5167,0.0
0.525,0.0
0.5334,0.0
0.5417,0.0
0.55,0.0
0.5584,0.0
0.5667,0.0
0.5751,0.0
0.5834,0.0
0.5917,0.0
0.6001,0.0
0.6084,0.0
0.6168,0.0
0.6251,0.0
0.6335,0.0
0.6418,0.0
0.6501,0.0
0.6585,0.0
0.6668,0.0
0.6752,0.0
0.6835,0.0
0.6918,0.0
0.7002,0.0
0.7085,0.0
0.7169,0.0
0.7252,0.0
0.7336,0.0
0.7419,0.0
0.7502,0.0
0.7586,0.0
0.7669,0.0
0.7753,0.0
0.7836,0.0
0.7919,0.0
0.8003,0.0
0.8086,0.0
0.817,0.0
0.8253,0.0
0.8337,0.0
0.842,0.0
0.8503,0.0
0.8587,0.0
0.867,0.0
0.8754,0.0
0.8837,0.0
0.892,0.0
0.9004,0.0
0.9087,0.0
0.9171,0.0
0.9254,0.0
0.9338,0.0
0.9421,0.0
0.9504,0.0
0.9588,0.0
0.9671,0.0
0.9755,0.0
0.9838,0.0
0.9921,0.0
1.0005,0.0
1.0088,0.0
1.0172,0.0
1.0255,0.0
1.0339,0.0
1.0422,0.0
1.0505,0.0
1.0589,0.0
1.0672,0.0
1.0756,0.0
1.0839,1.0
1.0922,1.0
1.1006,1.0
1.1089,1.0
1.1173,1.0
1.1256,1.0
1.134,1.0
1.1423,1.0
1.1506,1.0
1.159,1.0
1.1673,1.0
1.1757,1.0
1.184,1.0
1.1923,1.0
1.2007,1.0
1.209,1.0
1.2174,1.0
1.2257,1.0
1.2341,1.0
1.2424,1.0
1.2507,1.0
1.2591,6.3
1.2674,6.3
1.2758,6.3
1.2841,6.3
1.2924,6.3
1.3008,6.3
1.3091,6.3
1.3175,6.3
1.3258,6.3
1.3342,6.3
1.3425,6.3
1.3508,7.0
1.3592,24.0
1.3675,26.0
1.3759,26.0
1.3842,26.0
1.3925,26.0
1.4009,26.0
1.4092,26.0
1.4176,26.0
1.4259,26.0
1.4343,26.0
1.4426,26.0
1.4509,26.0
1.4593,26.0
1.4676,26.0
1.476,26.0
1.4843,29.7
1.4926,29.7
1.501,29.7
1.5093,29.7
1.5177,29.7
1.526,29.7
1.5344,29.7
1.5427,29.7
1.551,29.7
1.5594,35.4
1.5677,35.4
1.5761,35.4
1.5844,35.4
1.5927,35.4
1.6011,35.4
1.6094,35.4
1.6178,35.4
1.6261,35.4
1.6345,35.4
1.6428,35.4
1.6511,35.4
1.6595,35.6
1.6678,36.3
1.6762,37.1
1.6845,37.9
1.6928,38.7
1.7012,39.4
1.7095,40.2
1.7179,41.0
1.7262,41.0
1.7346,41.0
1.7429,41.0
1.7512,41.0
1.7596,42.0
1.7679,43.1
1.7763,44.1
1.7846,45.2
1.7929,46.2
1.8013,47.3
1.8096,48.3
1.818,49.4
1.8263,50.4
1.8347,51.5
1.843,52.5
1.8513,53.5
1.8597,54.6
1.868,55.6
1.8764,56.7
1.8847,57.7
1.893,58.8
1.9014,59.8
1.9097,60.9
1.9181,61.9
1.9264,63.0
1.9348,64.0
1.9431,66.0
1.9514,66.1
1.9598,66.2
1.9681,66.4
1.9765,66.5
1.9848,66.6
1.9931,66.8
2.0015,66.9
2.0098,67.0
2.0182,67.1
2.0265,67.2
2.0349,67.4
2.0432,67.5
2.0515,67.6
2.0599,67.8
2.0682,67.9
2.0766,68.0
2.0849,68.0
2.0932,75.0
2.1016,75.0
2.1099,75.0
2.1183,75.0
2.1266,75.0
2.135,75.0
2.1433,75.0
2.1516,75.0
2.16,82.5
2.1683,90.0
2.1767,90.0
2.185,90.0
2.1933,90.0
2.2017,90.0
2.21,90.0
2.2184,90.0
2.2267,90.0
2.2351,90.0
2.2434,90.0
2.2517,90.0
2.2601,90.0
