t_s,weight
2.9934,97.5
3.0017,97.5
3.0101,97.5
3.0184,97.5
3.0268,97.5
3.0351,97.5
3.0434,97.5
3.0518,97.5
3.0601,97.7
3.0685,98.2
3.0768,98.8
3.0851,99.3
3.0935,99.9
3.1018,100.4
3.1102,100.8
3.1185,100.8
3.1269,100.8
3.1352,100.8
3.1435,100.8
3.1519,107.6
3.1602,107.6
3.1686,107.6
3.1769,107.6
3.1852,107.6
3.1936,107.6
3.2019,107.6
3.2103,107.6
3.2186,107.6
3.227,107.6
3.2353,107.6
3.2436,108.0
3.252,108.0
3.2603,108.0
3.2687,108.0
3.277,108.0
3.2853,108.0
3.2937,111.3
3.302,113.2
3.3104,113.2
3.3187,113.2
3.3271,113.2
3.3354,116.8
3.3437,116.8
3.3521,116.8
3.3604,116.8
3.3688,116.8
3.3771,116.8
3.3854,116.8
3.3938,116.8
3.4021,116.8
3.4105,116.8
3.4188,116.8
3.4272,116.8
3.4355,116.8
3.4438,116.8
3.4522,118.0
3.4605,119.5
3.4689,121.0
3.4772,122.5
3.4855,122.5
3.4939,122.5
3.5022,122.5
3.5106,122.5
3.5189,122.5
3.5273,122.5
3.5356,124.0
3.5439,127.0
3.5523,127.4
3.5606,127.4
3.569,127.4
3.5773,127.4
3.5856,127.4
3.594,127.4
3.6023,127.4
3.6107,127.4
3.619,127.4
3.6274,127.4
3.6357,127.4
3.644,128.0
3.6524,128.0
3.6607,128.0
3.6691,128.0
3.6774,128.7
3.6857,128.7
3.6941,128.7
3.7024,128.7
3.7108,128.7
3.7191,128.7
3.7275,128.7
3.7358,128.7
3.7441,128.7
3.7525,128.7
3.7608,128.7
3.7692,128.7
3.7775,129.3
3.7858,130.7
3.7942,132.0
3.8025,132.0
3.8109,132.0
3.8192,132.0
3.8276,132.0
3.8359,132.0
3.8442,132.0
3.8526,132.0
3.8609,132.0
3.8693,132.0
3.8776,132.0
3.8859,132.0
3.8943,132.0
3.9026,132.0
3.911,132.0
3.9193,132.0
3.9277,132.0
3.936,132.0
3.9443,132.0
3.9527,132.0
3.961,132.0
3.9694,132.0
3.9777,132.0
3.986,132.0
3.9944,132.0
4.0027,132.0
4.0111,132.0
4.0194,132.0
4.0278,132.0
4.0361,132.0
4.0444,132.0
4.0528,132.0
4.0611,132.0
4.0695,132.0
4.0778,132.0
4.0861,132.0
4.0945,132.0
4.1028,132.0
4.1112,132.0
4.1195,132.0
4.1279,132.0
4.1362,132.0
4.1445,132.0
4.1529,132.0
4.1612,132.0
4.1696,132.0
4.1779,132.0
4.1862,132.0
4.1946,132.0
4.2029,132.0
4.2113,132.0
4.2196,132.0
4.228,132.0
4.2363,132.0
4.2446,132.0
4.253,132.0
4.2613,132.0
4.2697,132.0
4.278,132.0
4.2863,132.0
4.2947,132.0
4.303,132.0
4.3114,132.0
4.3197,132.0
4.3281,132.0
4.3364,132.0
4.3447,132.0
4.3531,132.0
4.3614,132.0
4.3698,132.0
4.3781,132.0
4.3864,132.0
4.3948,132.0
4.4031,132.0
4.4115,132.0
4.4198,132.0
4.4282,132.0
4.4365,132.0
4.4448,132.0
4.4532,132.0
4.4615,132.0
4.4699,132.0
4.4782,132.0
4.4865,132.0
4.4949,132.0
4.5032,132.0
4.5116,132.0
4.5199,132.0
4.5283,132.0
4.5366,132.0
4.5449,132.0
4.5533,132.0
4.5616,132.0
4.57,132.0
4.5783,132.0
4.5866,132.0
4.595,132.0
4.6033,132.0
4.6117,132.0
4.62,132.0
4.6284,132.0
4.6367,132.0
4.645,132.0
4.6534,132.0
4.6617,132.0
4.6701,132.0
4.6784,132.0
4.6867,132.0
4.6951,132.0
4.7034,132.0
4.7118,132.0
4.7201,132.0
4.7285,132.0
4.7368,132.0
4.7451,132.0
4.7535,132.0
4.7618,132.0
4.7702,132.0
4.7785,132.0
4.7868,132.0
4.7952,132.0
4.8035,132.0
4.8119,132.0
4.8202,132.0
4.8286,132.0
4.8369,132.0
4.8452,132.0
4.8536,132.0
4.8619,132.0
4.8703,132.0
4.8786,132.0
4.8869,132.0
4.8953,132.0
4.9036,132.0
4.912,132.0
4.9203,132.0
4.9287,132.0
4.937,132.0
4.9453,132.0
4.9537,132.0
4.962,132.0
4.9704,132.0
4.9787,132.0
4.987,132.0
4.9954,132.0
5.0037,132.0
5.0121,132.0
5.0204,132.0
