experiment,run,key,value,step
exprt_anomaly,binary_fold1_seed0,video_roc_auc_mean,0.8333333333333334,28
exprt_anomaly,binary_fold1_seed0,video_roc_auc_mean,0.0,1
exprt_anomaly,binary_pooled_oof,clip_ap_mean,0.9009225861697377,0
exprt_anomaly,binary_pooled_oof,clip_ap_std,0.0068132022604075705,0
exprt_anomaly,binary_pooled_oof,clip_roc_auc_mean,0.5055121762289791,0
exprt_anomaly,binary_pooled_oof,clip_roc_auc_std,0.019898424904926548,0
exprt_anomaly,binary_pooled_oof,video_ap_mean_mean,0.9066741799126159,0
exprt_anomaly,binary_pooled_oof,video_ap_mean_std,0.006837887949919146,0
exprt_anomaly,binary_pooled_oof,video_roc_auc_max_mean,0.45714285714285713,0
exprt_anomaly,binary_pooled_oof,video_roc_auc_max_std,0.0919272116671552,0
exprt_anomaly,binary_pooled_oof,video_roc_auc_mean_mean,0.4662857142857143,0
exprt_anomaly,binary_pooled_oof,video_roc_auc_mean_std,0.03696219800867708,0
exprt_anomaly,binary_seed0_fold0,train_loss,0.2726438343524933,199
exprt_anomaly,binary_seed0_fold0,val_loss,0.6938778093221613,199
exprt_anomaly,binary_seed0_fold1,train_loss,0.20790618658065796,199
exprt_anomaly,binary_seed0_fold1,val_loss,0.7684126753929823,199
exprt_anomaly,binary_seed0_fold2,train_loss,0.26187074184417725,199
exprt_anomaly,binary_seed0_fold2,val_loss,0.5081155743915,199
exprt_anomaly,binary_seed0_fold3,train_loss,0.3177500367164612,199
exprt_anomaly,binary_seed0_fold3,val_loss,0.47881214415058315,199
exprt_anomaly,binary_seed0_fold4,train_loss,0.2246175855398178,199
exprt_anomaly,binary_seed0_fold4,val_loss,0.6788426644840139,199
exprt_anomaly,binary_seed1_fold0,train_loss,0.22813695669174194,199
exprt_anomaly,binary_seed1_fold0,val_loss,0.8202984392867645,199
exprt_anomaly,binary_seed1_fold1,train_loss,0.2807273268699646,199
exprt_anomaly,binary_seed1_fold1,val_loss,0.5559250166519498,199
exprt_anomaly,binary_seed1_fold2,train_loss,0.3098011612892151,199
exprt_anomaly,binary_seed1_fold2,val_loss,0.4498606093678304,199
exprt_anomaly,binary_seed1_fold3,train_loss,0.28586918115615845,199
exprt_anomaly,binary_seed1_fold3,val_loss,0.6336179619626818,199
exprt_anomaly,binary_seed1_fold4,train_loss,0.201604962348938,199
exprt_anomaly,binary_seed1_fold4,val_loss,0.8801855687979742,199
exprt_anomaly,binary_seed2_fold0,train_loss,0.2977139353752136,199
exprt_anomaly,binary_seed2_fold0,val_loss,0.7614521569421376,199
exprt_anomaly,binary_seed2_fold1,train_loss,0.2955661714076996,199
exprt_anomaly,binary_seed2_fold1,val_loss,0.5827266393447328,199
exprt_anomaly,binary_seed2_fold2,train_loss,0.21008078753948212,199
exprt_anomaly,binary_seed2_fold2,val_loss,0.9889360060320965,199
exprt_anomaly,binary_seed2_fold3,train_loss,0.22553400695323944,199
exprt_anomaly,binary_seed2_fold3,val_loss,0.8863844003727782,199
exprt_anomaly,binary_seed2_fold4,train_loss,0.2636881470680237,199
exprt_anomaly,binary_seed2_fold4,val_loss,0.427542202610481,199
exprt_anomaly,binary_seed3_fold0,train_loss,0.22351598739624023,199
exprt_anomaly,binary_seed3_fold0,val_loss,0.8577384042107882,199
exprt_anomaly,binary_seed3_fold1,train_loss,0.3328991234302521,199
exprt_anomaly,binary_seed3_fold1,val_loss,0.32090246041994663,199
exprt_anomaly,binary_seed3_fold2,train_loss,0.247952401638031,199
exprt_anomaly,binary_seed3_fold2,val_loss,0.7868734290995016,199
exprt_anomaly,binary_seed3_fold3,train_loss,0.2818961441516876,199
exprt_anomaly,binary_seed3_fold3,val_loss,0.657873243081575,199
exprt_anomaly,binary_seed3_fold4,train_loss,0.2685663104057312,199
exprt_anomaly,binary_seed3_fold4,val_loss,0.727409967559623,199
exprt_anomaly,binary_seed4_fold0,train_loss,0.2667824625968933,199
exprt_anomaly,binary_seed4_fold0,val_loss,0.726012639714697,199
exprt_anomaly,binary_seed4_fold1,train_loss,0.2452254295349121,199
exprt_anomaly,binary_seed4_fold1,val_loss,0.6431714869656426,199
exprt_anomaly,binary_seed4_fold2,train_loss,0.3220207691192627,199
exprt_anomaly,binary_seed4_fold2,val_loss,0.6574125123059803,199
exprt_anomaly,binary_seed4_fold3,train_loss,0.27532652020454407,199
exprt_anomaly,binary_seed4_fold3,val_loss,0.5360023162263072,199
exprt_anomaly,binary_seed4_fold4,train_loss,0.20870529115200043,199
exprt_anomaly,binary_seed4_fold4,val_loss,0.8500172215881887,199
exprt_anomaly,binary_summary_seed0,cv_video_roc_auc_mean_mean,0.0,0
exprt_anomaly,binary_summary_seed0,cv_video_roc_auc_mean_std,0.0,0
exprt_anomaly,clip_binary_pooled,ap,0.9009127021700077,0
exprt_anomaly,clip_binary_pooled,ap,0.9033487783136411,0
exprt_anomaly,clip_binary_pooled,ap_std,0.007052800153090802,0
exprt_anomaly,clip_binary_pooled,ap_std,0.0077829261947918085,0
exprt_anomaly,clip_binary_pooled,roc_auc,0.5058851374936046,0
exprt_anomaly,clip_binary_pooled,roc_auc,0.5104652293313314,0
exprt_anomaly,clip_binary_pooled,roc_auc_std,0.020762847804616603,0
exprt_anomaly,clip_binary_pooled,roc_auc_std,0.0233817632462647,0
exprt_anomaly,clip_binary_pooled_mean,ap,0.9107895369508654,0
exprt_anomaly,clip_binary_pooled_mean,ap_std,0.005731591123843857,0
exprt_anomaly,clip_binary_pooled_mean,roc_auc,0.5254970027621446,0
exprt_anomaly,clip_binary_pooled_mean,roc_auc_std,0.024442425159106856,0
exprt_anomaly,clip_binary_pooled_rand,ap,0.9125935101367638,0
exprt_anomaly,clip_binary_pooled_rand,ap_std,0.004364883196416927,0
exprt_anomaly,clip_binary_pooled_rand,roc_auc,0.52947541563664,0
exprt_anomaly,clip_binary_pooled_rand,roc_auc_std,0.021609680510748252,0
exprt_anomaly,clip_multiclass_pooled,acc,0.1792,0
exprt_anomaly,clip_multiclass_pooled,acc,0.17384,0
exprt_anomaly,clip_multiclass_pooled,acc_std,0.010881176406988356,0
exprt_anomaly,clip_multiclass_pooled,acc_std,0.009535114052805027,0
exprt_anomaly,clip_multiclass_pooled,macro_f1,0.1774606819570491,0
exprt_anomaly,clip_multiclass_pooled,macro_f1,0.17169076188843152,0
exprt_anomaly,clip_multiclass_pooled,macro_f1_std,0.010220230664190392,0
exprt_anomaly,clip_multiclass_pooled,macro_f1_std,0.009235308014525337,0
exprt_anomaly,clip_multiclass_pooled_mean,acc,0.17024,0
exprt_anomaly,clip_multiclass_pooled_mean,acc_std,0.008388945106507735,0
exprt_anomaly,clip_multiclass_pooled_mean,macro_f1,0.16963379112873925,0
exprt_anomaly,clip_multiclass_pooled_mean,macro_f1_std,0.00956629441271602,0
exprt_anomaly,clip_multiclass_pooled_rand,acc,0.16424,0
exprt_anomaly,clip_multiclass_pooled_rand,acc_std,0.00681457262049499,0
exprt_anomaly,clip_multiclass_pooled_rand,macro_f1,0.1629845138119003,0
exprt_anomaly,clip_multiclass_pooled_rand,macro_f1_std,0.007861551199451816,0
exprt_anomaly,multiclass_pooled_oof,clip_acc_mean,0.16664,0
exprt_anomaly,multiclass_pooled_oof,clip_acc_std,0.009551879396223548,0
exprt_anomaly,multiclass_pooled_oof,clip_macro_f1_mean,0.1650735795640489,0
exprt_anomaly,multiclass_pooled_oof,clip_macro_f1_std,0.009650794989640745,0
exprt_anomaly,multiclass_pooled_oof,video_acc_mean,0.17500000000000002,0
exprt_anomaly,multiclass_pooled_oof,video_acc_std,0.05,0
exprt_anomaly,multiclass_pooled_oof,video_macro_f1_mean,0.1694244644244644,0
exprt_anomaly,multiclass_pooled_oof,video_macro_f1_std,0.04403811973452623,0
exprt_anomaly,multiclass_seed0_fold0,train_loss,0.4297364354133606,299
exprt_anomaly,multiclass_seed0_fold0,val_loss,4.394820898540676,299
exprt_anomaly,multiclass_seed0_fold1,train_loss,0.43578654527664185,299
exprt_anomaly,multiclass_seed0_fold1,val_loss,3.057224409196061,299
exprt_anomaly,multiclass_seed0_fold2,train_loss,0.4490492641925812,299
exprt_anomaly,multiclass_seed0_fold2,val_loss,3.6691455871678746,299
exprt_anomaly,multiclass_seed0_fold3,train_loss,0.423813134431839,299
exprt_anomaly,multiclass_seed0_fold3,val_loss,3.758783248674047,299
exprt_anomaly,multiclass_seed0_fold4,train_loss,0.4704649746417999,299
exprt_anomaly,multiclass_seed0_fold4,val_loss,2.6700037602355584,299
exprt_anomaly,multiclass_seed1_fold0,train_loss,0.401626855134964,299
exprt_anomaly,multiclass_seed1_fold0,val_loss,4.915014066783621,299
exprt_anomaly,multiclass_seed1_fold1,train_loss,0.414050430059433,299
exprt_anomaly,multiclass_seed1_fold1,val_loss,3.9085269302003947,299
exprt_anomaly,multiclass_seed1_fold2,train_loss,0.4096333384513855,299
exprt_anomaly,multiclass_seed1_fold2,val_loss,3.8102879590801777,299
exprt_anomaly,multiclass_seed1_fold3,train_loss,0.4531484544277191,299
exprt_anomaly,multiclass_seed1_fold3,val_loss,3.6306983429267703,299
exprt_anomaly,multiclass_seed1_fold4,train_loss,0.4368324279785156,299
exprt_anomaly,multiclass_seed1_fold4,val_loss,3.5283570827339803,299
exprt_anomaly,multiclass_seed2_fold0,train_loss,0.41473323106765747,299
exprt_anomaly,multiclass_seed2_fold0,val_loss,4.025665476119215,299
exprt_anomaly,multiclass_seed2_fold1,train_loss,0.42359721660614014,299
exprt_anomaly,multiclass_seed2_fold1,val_loss,4.724717764183175,299
exprt_anomaly,multiclass_seed2_fold2,train_loss,0.41052162647247314,299
exprt_anomaly,multiclass_seed2_fold2,val_loss,3.250969521642762,299
exprt_anomaly,multiclass_seed2_fold3,train_loss,0.38989731669425964,299
exprt_anomaly,multiclass_seed2_fold3,val_loss,3.831695088778165,299
exprt_anomaly,multiclass_seed2_fold4,train_loss,0.49350008368492126,299
exprt_anomaly,multiclass_seed2_fold4,val_loss,2.894477851683789,299
exprt_anomaly,multiclass_seed3_fold0,train_loss,0.4183671772480011,299
exprt_anomaly,multiclass_seed3_fold0,val_loss,3.302206380177971,299
exprt_anomaly,multiclass_seed3_fold1,train_loss,0.41006627678871155,299
exprt_anomaly,multiclass_seed3_fold1,val_loss,4.5735156771705725,299
exprt_anomaly,multiclass_seed3_fold2,train_loss,0.46358516812324524,299
exprt_anomaly,multiclass_seed3_fold2,val_loss,3.539446036908695,299
exprt_anomaly,multiclass_seed3_fold3,train_loss,0.43624183535575867,299
exprt_anomaly,multiclass_seed3_fold3,val_loss,3.8437881551786384,299
exprt_anomaly,multiclass_seed3_fold4,train_loss,0.43848350644111633,299
exprt_anomaly,multiclass_seed3_fold4,val_loss,3.143973335240892,299
exprt_anomaly,multiclass_seed4_fold0,train_loss,0.45494019985198975,299
exprt_anomaly,multiclass_seed4_fold0,val_loss,2.9774580689244114,299
exprt_anomaly,multiclass_seed4_fold1,train_loss,0.43283987045288086,299
exprt_anomaly,multiclass_seed4_fold1,val_loss,4.103492357874898,299
exprt_anomaly,multiclass_seed4_fold2,train_loss,0.3778204619884491,299
exprt_anomaly,multiclass_seed4_fold2,val_loss,5.249718525737002,299
exprt_anomaly,multiclass_seed4_fold3,train_loss,0.43154066801071167,299
exprt_anomaly,multiclass_seed4_fold3,val_loss,3.5771381585861093,299
exprt_anomaly,multiclass_seed4_fold4,train_loss,0.3810694217681885,299
exprt_anomaly,multiclass_seed4_fold4,val_loss,4.054156213628348,299
exprt_anomaly,video_binary_pooled,ap,0.8596848551074346,0
exprt_anomaly,video_binary_pooled,ap,0.8685910491640046,0
exprt_anomaly,video_binary_pooled,roc_auc,0.32571428571428573,0
exprt_anomaly,video_binary_pooled,roc_auc,0.34285714285714286,0
exprt_anomaly,video_binary_pooled,train_loss,0.008852600783575327,199
exprt_anomaly,video_binary_pooled,train_loss,0.028260220726951956,149
exprt_anomaly,video_binary_pooled_mean,ap,0.9235214272216511,0
exprt_anomaly,video_binary_pooled_mean,ap,0.9259617672020368,0
exprt_anomaly,video_binary_pooled_mean,ap,0.9269312696275129,0
exprt_anomaly,video_binary_pooled_mean,ap,0.929065845196871,0
exprt_anomaly,video_binary_pooled_mean,roc_auc,0.6000000000000001,0
exprt_anomaly,video_binary_pooled_mean,roc_auc,0.6114285714285714,0
exprt_anomaly,video_binary_pooled_mean,roc_auc,0.6171428571428571,0
exprt_anomaly,video_binary_pooled_mean,roc_auc,0.6285714285714286,0
exprt_anomaly,video_binary_pooled_mean,train_loss,0.021298492280766367,149
exprt_anomaly,video_binary_pooled_mean,train_loss,0.006823594123125077,199
